Sentence_id,Text,Verdict,Cleaned
1,I think we've seen a deterioration of values.,-1,think seen deterior valu
2,I think for a while as a nation we condoned those things we should have condemned.,-1,think nation condon thing condemn
3,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that's all wrong.",-1,recal even seem talk legal decrimin marijuana drug think wrong
4,"So we've seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools.",-1,seen deterior valu one thing think term instil valu young peopl school
5,"We got away, we got into this feeling that value- free education was the thing.",-1,got away got feel valu free educ thing
6,And I don't believe that at all I do believe there are fundamental rights and wrongs as far as use.,-1,believ believ fundament right wrong far use
7,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",-1,cours far make better ye better interdict
8,"But we've got to do a lot better on education, and we have to do, be tougher on those who commit crimes.",-1,got lot better educ tougher commit crime
9,We've got to get after the users more.,-1,got get user
10,We have to change this whole culture.,-1,chang whole cultur
11,"And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",0,saw cocain scene treat humor though humor littl incid
12,Everybody ought to be in this thing.,-1,everybodi ought thing
13,"Entertainment industry, people involved in the schools, education.",-1,entertain industri peopl involv school educ
14,And it isn't a Republican or a Democrat or a liberal problem.,-1,republican democrat liber problem
15,But we have got to instill values in these young people.,-1,got instil valu young peopl
16,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,-1,put forward mani point drug program includ would presid unit state term better interdict term better neighborhood
17,"But I think we're all in this together, and my plea to the American people is values in the schools.",-1,think togeth plea american peopl valu school
18,I agree with Mr. Bush that values are important.,-1,agre mr bush valu import
19,But it's important that our leaders demonstrate those values from the top.,-1,import leader demonstr valu top
20,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,-1,mean us elect posit polit leadership reflect valu
23,Governors like me and others have been trying to deal with the consequences.,-1,governor like other tri deal consequ
24,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",0,rememb high school state organ someth call governor allianc drug young 16 year old girl come desper addict depend say governor need help
25,We're providing that young woman with help.,-1,provid young woman help
26,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",-1,want presid unit state make sure never busi drug run panamanian dictat never funnel aid contra convict drug dealer
27,"Values begin at the top, in the White House.",-1,valu begin top white hous
28,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,-1,valu want bring presid white hous begin januari 1989
29,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",-1,say us elect posit polit leadership jim special respons come program outlin detail import strong program enforc well drug educ prevent
30,And Mr. Bush is right - the two go hand in hand.,-1,mr bush right two go hand hand
31,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",-1,govern busi peopl know engag drug profit drug traffick understand send bad messag young peopl littl difficult understand reach youngster talk young peopl like countri say want help
32,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",1,outlin great detail program tough enforc home abroad doubl number drug enforc agent hemispher summit soon 20th januari bring democrat neighbor alli togeth hemispher go work togeth
33,But we also have to take demand seriously.,-1,also take demand serious
34,"You know, we have five percent of the world's population in this country.",1,know five percent world popul countri
35,We're consuming 50 percent of the world's cocaine.,1,consum 50 percent world cocain
36,Doing better in the neighborhoods.,-1,better neighborhood
37,"But I think we're all in this together, and my plea to the American people is values in the schools.",-1,think togeth plea american peopl valu school
38,I agree with Mr. Bush that values are important.,-1,agre mr bush valu import
39,But it's important that our leaders demonstrate those values from the top.,-1,import leader demonstr valu top
40,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,-1,mean us elect posit polit leadership reflect valu
43,Governors like me and others have been trying to deal with the consequences.,-1,governor like other tri deal consequ
44,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",0,rememb high school state organ someth call governor allianc drug young 16 year old girl come desper addict depend say governor need help
45,We're providing that young woman with help.,-1,provid young woman help
46,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",-1,want presid unit state make sure never busi drug run panamanian dictat never funnel aid contra convict drug dealer
47,"Values begin at the top, in the White House.",-1,valu begin top white hous
48,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,-1,valu want bring presid white hous begin januari 1989
49,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",-1,say us elect posit polit leadership jim special respons come program outlin detail import strong program enforc well drug educ prevent
50,And Mr. Bush is right - the two go hand in hand.,-1,mr bush right two go hand hand
51,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",-1,govern busi peopl know engag drug profit drug traffick understand send bad messag young peopl littl difficult understand reach youngster talk young peopl like countri say want help
52,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",1,outlin great detail program tough enforc home abroad doubl number drug enforc agent hemispher summit soon 20th januari bring democrat neighbor alli togeth hemispher go work togeth
53,But we also have to take demand seriously.,-1,also take demand serious
54,"You know, we have five percent of the world's population in this country.",1,know five percent world popul countri
55,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.,1,state proud say organ drug educ prevent program feder drug enforc administr say model countri
56,We're helping youngsters; we're reaching out to them.,-1,help youngster reach
57,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",-1,begin drug educ prevent begin earli elementari grade everi elementari school state kind effort need everi elementari school unit state america
58,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances.",-1,got begin earli first second third grade youngster begin experi danger substanc
59,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",-1,guess question would ask mr bush instil valu creat environ drug free school want countri
60,"If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",-1,repres administr either involv peopl like noriega foreign polici pursu connect way make possibl us cut exampl kid countri
61,"Well, the other day my opponent was given a briefing by the CIA.",0,well day oppon given brief cia
62,I asked for and received the same briefing.,0,ask receiv brief
63,I am very careful in public life about dealing with classified information.,-1,care public life deal classifi inform
64,And what I'm about to say is unclassified.,-1,say unclassifi
65,Seven administrations were dealing with Mr. Noriega.,1,seven administr deal mr noriega
66,It was the Reagan-Bush administration that brought this man to justice.,1,reagan bush administr brought man justic
67,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him.",1,governor massachusett know evid governor mr noriega involv drug hard evid indict
