Text,Verdict
"Mr. Nixon misstates my figures constantly, which uh - is of course his right, but the fact of the matter is: here is where I stand and I just want to have it on the public record.",-1
I supported what we did in Kosovo.,1
Well let me make one thing clear.,-1
I think the result of this debate indicates that that fact is true.,-1
"I would like everybody to end it, just get rid of it.",-1
You also have investments outside the United States.,1
Let me take just one question that he raises - the military strength and capability of the United States.,-1
"I was called the sheriff, by the -- one of the senior members of the Appropriations Committee.",0
I think the business community wants to get involved.,-1
So we're still in the fight.,-1
But they weren't taken care of.,-1
I also personally took responsibility tonight when Senator Dole asked me about the drug problem.,0
"In addition to that, we have to move on other areas that are holding back growth.",-1
I don't think that any of us should be called upon here to stand and make a decision as to what other things might come under the self-defense tradition.,-1
"But keep in mind this bill covers 5 percent of the employers, and 95 percent of the employers and all those employees they employ are not covered in this act.",1
"Now, let's go back to Saddam Hussein.",-1
"Under your direction, to a large extent.",-1
"We can a big share of it, but we've got to have more help from our friends abroad; and these three factors, I think, will be very helpful in reversing the gold flow which you spoke about.",-1
Robert Rubin looked at his plan and said it won't work.,0
"I'm interested in 240 million citizens in this country who share in the American dream, all of them in every part of this country.",-1
"That's really what you're -- when they ask about the mistakes, that's what they're talking about.",-1
So we have to look at this comprehensively.,-1
"Medical care for the aged, I would put under social security.",-1
"I was taught -- I went to a church school and I was taught that the two greatest commandments are: Love the Lord, your God, with all your mind, your body and your soul, and love your neighbor as yourself.",0
But I would have no hesitation to ask the American people to pay the taxes even in l961 - if necessary - to maintain a sound economy and also to maintain a sound dollar.,-1
We got to cut it out.,-1
And that means that the local law enforcement officials need help at the federal level.,-1
If I'm elected we won't have Obama.,-1
"I proposed a plan, detailed budget, that shows us cutting the deficit in half by five years.",0
"Now, here we have to decide between generalized objectives and reality.",-1
It can happen in America with the right kind of leadership.,1
"Well, I don't know in the case of the trial lawyers.",-1
"That's why I think it's important for us to get loan guarantees to the automakers, but we do have to hold them responsible as well to start producing the highly fuel-efficient cars of the future.",-1
"You deal with Russia based on, what are your -- what are the national security interests of the United States of America?",-1
"Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York.",1
And we are winning in Iraq.,1
"Now, you've shown independence -- commendable independence, on some key issues like torture, for example, and I give you enormous credit for that.",0
You remember the last debate?,-1
"It's my - my opinion that the private sector, where five out of six jobs are, where you have permanent jobs, with the opportunity for advancement, is a better place than make-work jobs under the program recommended by the Congress.",1
"I brought this up recently with Vincent Fox the newly elected president in Mexico, he's a man I know from Mexico.",0
"If it says tilt, you don't get any gun.",-1
I'm using the same words that your advisers use.,-1
"Well, first, let me say, number one, when I saw the final agreement for TPP, I said I was against it.",0
"I think in education, when he lectured the country about the importance of discipline, I didn't like it at first, but I think it helped a little bit.",-1
You ain't seen nothing yet.,-1
"But I am uh - very glad to point out that since 1969, during a Republican administrations, we have had ten million people taken off of the tax rolls at the lower end of the taxpayer area.",1
I want to reduce the size of the classrooms in this country.,-1
