Sentence_id,Text,Verdict
1,I think we've seen a deterioration of values.,-1
2,I think for a while as a nation we condoned those things we should have condemned.,-1
3,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that's all wrong.",-1
4,"So we've seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools.",-1
5,"We got away, we got into this feeling that value- free education was the thing.",-1
6,And I don't believe that at all I do believe there are fundamental rights and wrongs as far as use.,-1
7,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",-1
8,"But we've got to do a lot better on education, and we have to do, be tougher on those who commit crimes.",-1
9,We've got to get after the users more.,-1
10,We have to change this whole culture.,-1
11,"And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",0
12,Everybody ought to be in this thing.,-1
13,"Entertainment industry, people involved in the schools, education.",-1
14,And it isn't a Republican or a Democrat or a liberal problem.,-1
15,But we have got to instill values in these young people.,-1
16,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,-1
17,"But I think we're all in this together, and my plea to the American people is values in the schools.",-1
18,I agree with Mr. Bush that values are important.,-1
19,But it's important that our leaders demonstrate those values from the top.,-1
20,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,-1
21,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,1
22,We've been dealing with him; he's been dealing drugs to our kids.,1
23,Governors like me and others have been trying to deal with the consequences.,-1
24,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",0
25,We're providing that young woman with help.,-1
26,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",-1
27,"Values begin at the top, in the White House.",-1
28,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,-1
29,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",-1
30,And Mr. Bush is right - the two go hand in hand.,-1
31,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",-1
32,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",1
33,But we also have to take demand seriously.,-1
34,"You know, we have five percent of the world's population in this country.",1
35,We're consuming 50 percent of the world's cocaine.,1
36,Doing better in the neighborhoods.,-1
37,"But I think we're all in this together, and my plea to the American people is values in the schools.",-1
38,I agree with Mr. Bush that values are important.,-1
39,But it's important that our leaders demonstrate those values from the top.,-1
40,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,-1
41,Here we are with a government that's been dealing with a drug-running Panamanian dictator.,0
42,We've been dealing with him; he's been dealing drugs to our kids.,0
43,Governors like me and others have been trying to deal with the consequences.,-1
44,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help.",0
45,We're providing that young woman with help.,-1
46,"But I want to be a president of the United States who makes sure that we never again do business with a drug-running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.",-1
47,"Values begin at the top, in the White House.",-1
48,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,-1
49,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.",-1
50,And Mr. Bush is right - the two go hand in hand.,-1
51,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you.",-1
52,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",1
53,But we also have to take demand seriously.,-1
54,"You know, we have five percent of the world's population in this country.",1
55,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.,1
56,We're helping youngsters; we're reaching out to them.,-1
57,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America.",-1
58,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances.",-1
59,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",-1
60,"If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",-1
61,"Well, the other day my opponent was given a briefing by the CIA.",0
62,I asked for and received the same briefing.,0
63,I am very careful in public life about dealing with classified information.,-1
64,And what I'm about to say is unclassified.,-1
65,Seven administrations were dealing with Mr. Noriega.,1
66,It was the Reagan-Bush administration that brought this man to justice.,1
67,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him.",1
68,And so I think it's about time we get this Noriega matter in perspective.,-1
69,Panama is a friendly country.,-1
70,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him.",1
71,And we want to bring him to justice.,-1
72,And so call off all those pickets out there that are trying to tear down seven different administrations.,-1
73,"Yes, I've been very specific about those, John.",-1
74,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",1
75,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford.",-1
76,"Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make.",-1
77,"I've also suggested that there are weapons systems that we should proceed on, and I've outlined those in detail.",0
78,"Secondly, we've got to invest in economic growth in this country, in every part of this country.",-1
79,Building that kind of growth expands revenues and helps to bring down that deficit.,-1
80,"Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down.",-1
81,"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",1
82,It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,-1
83,I've also suggested that on the domestic side there are areas where we can make some cuts.,-1
84,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration.",1
85,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again.",-1
86,The thing I don't understand about Mr. Bush's approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do.,-1
87,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",1
88,He also wants to spend a lot of money on additional programs.,-1
89,"If he keeps this up, he's going to be the Joe Isuzu of American politics.",-1
90,But I hope you won't take my five seconds away from me.,-1
91,I will say this -,-1
92,"If he's serious about what he's saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think he's going to try it again.",1
93,Is this the time to unleash our one-liners?,-1
94,"There are so many things there, I don't quite know where to begin.",-1
95,"When you cut capital gains, you put people to work.",-1
96,John Kennedy proposed cutting capital gains.,1
97,"Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut.",1
98,It's not going to cost the government money.,-1
99,"It's going to increase revenues to the federal government, and it's going to create jobs.",-1
100,So that's one of the things that I think makes a big difference between us.,-1
101,"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",1
102,That happens to be a fact.,1
103,"And so let's kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze.",-1
